Serial Number,List Year,Date Recorded,Town,Address,Assessed Value,Sale Amount,Sales Ratio,Property Type,Residential Type,Non Use Code,Assessor Remarks,OPM remarks,Location
2000184,2020,02/16/2021,Cheshire,474 MAPLE AVE,380070.00,699900.00,0.543,Residential,Single Family,,,,POINT (-72.90162 41.51102)
10201,2001,07/01/2002,East Windsor,92 GRIFFIN RD,107010.00,227000.00,0.471409692,,,,,,
200244,2020,04/15/2021,Avon,239 OLD FARMS RD 13B,58590.00,4500.00,13.02,Residential,Condo,08 - Part Interest,,,
200840,2020,06/01/2021,Manchester,62 ELDRIDGE STREET,138900.00,155000.00,0.8961,Residential,Single Family,,,,
200558,2020,06/22/2021,Groton,72-2 BUDDINGTON RD,61810.00,120000.00,0.515,Residential,Condo,,,,POINT (-72.04608 41.36487)
200310,2020,01/26/2021,Enfield,33 JONDOT DR,121400.00,206000.00,0.5893,Residential,Single Family,,,,
200125,2020,12/01/2020,Guilford,174 NUT PLAINS RD,152050.00,264000.00,0.5759,Residential,Single Family,,,,
200011,2020,10/13/2020,Cromwell,3 HAWTHORN,93800.00,175000.00,0.536,Residential,Condo,,,,
201207,2020,09/01/2021,Manchester,77 SHALLOWBROOK LANE,145800.00,300000.00,0.486,Residential,Single Family,,,,POINT (-72.52055 41.73935)
200032,2020,10/19/2020,Madison,10 ARROWHEAD RD,209400.00,475000.00,0.4408,Residential,Single Family,,,,POINT (-72.64111 41.27666)
200030,2020,03/09/2021,Bridgewater,67 BOTSFORD HILL ROAD,666600.00,1046945.00,0.6367,Residential,Single Family,17 - Two Towns,AKA  -0- Townline Road,,POINT (-73.33569 41.52888)
200353,2020,12/10/2020,Greenwich,45 LAKE DRIVE SOUTH,1157450.00,2225000.00,0.5202,Residential,Single Family,,,,
201058,2020,05/24/2021,Greenwich,17 EAST LYON FARM DRIVE,687890.00,940000.00,0.7317,Residential,Condo,,,,POINT (-73.65373 41.03028)
200056,2020,10/13/2020,Greenwich,59 CHERRY VALLEY ROAD,1284500.00,1200000.00,1.0704,Residential,Single Family,10 - A Will,,,POINT (-73.65942 41.09855)
200220,2020,07/19/2021,Mansfield,87 MONTICELLO LANE,330900.00,605000.00,0.5469,Residential,Single Family,,,,POINT (-72.23629 41.79186)
201076,2020,07/21/2021,Bristol,351 MATTHEWS ST,318780.00,540000.00,0.5903,Residential,Single Family,,,,POINT (-72.96658 41.68589)
20601,2020,09/07/2021,Darien,17 WALMSLEY RD,565530.00,1125000.00,0.5026,Residential,Single Family,,,,POINT (-73.49836 41.06566)
2000203,2020,03/01/2021,Cheshire,560 OAK AVE U15,97840.00,196000.00,0.4991,Residential,Condo,,,,POINT (-72.91918 41.49172)
200250,2020,01/15/2021,Groton,255 NEPTUNE DR,751520.00,1325000.00,0.5671,Residential,Single Family,,,,
200050,2020,12/08/2020,Easton,31 KACHELE STREET,494130.00,685000.00,0.7213,Residential,Single Family,,,,POINT (-73.24946 41.25303)
200462,2020,04/30/2021,Glastonbury,82 SOUTH MILL DR,165000.00,247500.00,0.6666,Residential,Condo,,,,
201539,2020,09/20/2021,Danbury,6 FAIRFIELD AV,237900.00,410000.00,0.5802,Residential,Two Family,,J16119,,
200000259,2020,05/17/2021,Brookfield,23 RIVERVIEW CT,191900.00,315000.00,0.6092,Residential,Condo,,,,
201629,2020,08/23/2021,Greenwich,15 TOMAHAWK LANE,2712290.00,3950000.00,0.6866,Residential,Single Family,,,,
200101,2020,12/14/2020,Killingly,285 NO SHORE RD,148470.00,215000.00,0.6905,Residential,Single Family,,,,
200098,2020,01/11/2021,Colchester,14 WOODACRES RD,191900.00,335000.00,0.5728,Residential,Single Family,,,,POINT (-72.32448 41.61539)
200102,2020,12/02/2020,Madison,22 DOWNING WAY,239200.00,358000.00,0.6681,Residential,Condo,25 - Other,assignment of leasehold interest,,
200427,2020,04/30/2021,Groton,66 PEARL ST (NOANK),283990.00,760000.00,0.373671053,Residential,Single Family,07 - Change in Property,CHANGE AFTER SALE - ASSESSOR,,
200089,2020,11/04/2020,Groton,2 BURGEVILLE CT,93030.00,189000.00,0.4922,Residential,Single Family,,,,POINT (-72.08285 41.36873)
200042,2020,10/19/2020,Glastonbury,23 REDBUD LN,99400.00,170000.00,0.5847,Residential,Condo,,,,
2000210,2020,05/04/2021,Bloomfield,70 PROSPECT STREET,139790.00,250000.00,0.5591,Residential,Single Family,,,,
200700,2020,07/13/2021,Enfield,8 SHANNON DR,161590.00,310000.00,0.5212,Residential,Single Family,,,,
201262,2020,06/28/2021,Greenwich,8 LINWOOD AVENUE,671160.00,975000.00,0.6883,Residential,Single Family,,,,
20000196,2020,06/30/2021,Granby,70 SILVER BROOK LN,324730.00,615000.00,0.528,Residential,Single Family,,,,POINT (-72.84279 42.036)
200426,2020,01/19/2021,Bristol,47 EAST NEW ST,93310.00,139000.00,0.6712,Residential,Single Family,,,,POINT (-72.91236 41.67605)
200211,2020,07/26/2021,Canton,8 ELIZABETH ROAD,276400.00,440000.00,0.628181818,Residential,Single Family,,,,POINT (-72.87883 41.81551)
200109,2020,12/09/2020,Avon,57 FAR HILLS DRIVE,847520.00,1250000.00,0.678,Residential,Single Family,,,,
20005,2020,10/09/2020,Burlington,11 JENNIFER LANE,197400.00,330000.00,0.5981,Residential,Single Family,,,,
200408,2020,07/08/2021,East Lyme,108 E SHORE DR,641410.00,1399000.00,0.4584,Residential,Single Family,,2 SINGLE FAMILY DWELLINGS ON 1 LOT,,POINT (-72.20356 41.29248)
2020280,2020,06/04/2021,Berlin,11 RONAL DR,163400.00,325000.00,0.5027,Residential,Single Family,,,,POINT (-72.73806 41.62819)
200108,2020,09/13/2021,Kent,25 NORTH MAIN ST U5B,78800.00,172500.00,0.4568,Commercial,,,"19/14/2/U05/B = 70,300 & 19/14/2/SBMT/UB1 = 8,500",,
200427,2020,07/26/2021,East Lyme,24 SEA BREEZE AVE,175350.00,400000.00,0.4383,Residential,Single Family,,,,POINT (-72.20722 41.2977)
200022,2020,10/23/2020,Colchester,8 GARY LN,385400.00,530000.00,0.7271,Residential,Single Family,,,,POINT (-72.35419 41.54181)
200182,2020,06/01/2021,Litchfield,383 E LITCHFIELD RD,204210.00,45000.00,4.538,Residential,Single Family,06 - Portion of Property,,,POINT (-73.13009 41.76097)
200463,2020,08/13/2021,East Lyme,GOLDFINCH TERR,101710.00,107900.00,0.9426,Vacant Land,,06 - Portion of Property,LOT LINES REVISED,,
200297,2020,04/22/2021,Guilford,125 LEATHERMAN RD,464450.00,901000.00,0.5154,Residential,Single Family,,,,
200299,2020,12/02/2020,Manchester,89 TONICA SPRING TRAIL,209300.00,384900.00,0.5437,Residential,Single Family,,,,
200793,2020,04/01/2021,Greenwich,22 SHOAL POINT LANE,2075290.00,3100000.00,0.6694,Vacant Land,,25 - Other,NOT LISTED,,POINT (-73.57462 41.02758)
20143,2020,11/23/2020,East Hartford,73 MARGERY DR,99730.00,164000.00,0.6081,Residential,Single Family,25 - Other,ESTATE/ DEPRESSED SALE,,POINT (-72.598 41.75573)
20700,2020,04/26/2021,Hartford,145 MAGNOLIA ST,4690.00,19082.00,0.2457,Vacant Land,,09 - Tax,(NO CONVEYANCE) TAX COLLECTOR'S DEED,,
200454,2020,07/14/2021,Guilford,1171 WEST LAKE AVE,170440.00,260000.00,0.6555,Residential,Single Family,,,,POINT (-72.7409 41.33521)
2020038,2020,10/28/2020,Ansonia,121 ROCKWOOD AVE,126400.00,230000.00,0.5495,Residential,Single Family,,,,POINT (-73.07174 41.35778)
201088,2020,08/03/2021,Manchester,69 TRACY DRIVE,113900.00,247000.00,0.4611,Residential,Single Family,,,,
201055,2020,07/15/2021,Bristol,108 POND VIEW LN,235830.00,398000.00,0.5925,Residential,Single Family,,,,
201360,2020,08/12/2021,Danbury,6 STONEGATE CT,318500.00,540000.00,0.589814815,Residential,Single Family,25 - Other,ESTATE / D09114,,POINT (-73.5101 41.42091)
20351,2020,05/24/2021,Darien,36 SHIELDS ROAD,1077160.00,2020000.00,0.5332,Residential,Single Family,,,,POINT (-73.48848 41.07637)
2000342,2020,08/02/2021,Bloomfield,4 ARNOLD DRIVE,200410.00,366000.00,0.5475,Residential,Single Family,,,,POINT (-72.76114 41.84153)
2020180,2020,03/01/2021,Berlin,1539 FARMINGTON AVE,234200.00,130000.00,1.8015,Residential,Two Family,08 - Part Interest,,,
200624,2020,08/09/2021,East Haven,78 HIGHLAND AVE,125250.00,461000.00,0.271691974,Residential,Two Family,07 - Change in Property,,TOTAL RENOVATION PER MLS,
200808,2020,05/19/2021,Bristol,70 UNIONST,128100.00,95000.00,1.3484,Residential,Three Family,25 - Other,EXTREMELY DISTRESSED HOME/HOARDER HOUSE,,POINT (-72.94558 41.66587)
20565,2020,03/29/2021,Hartford,31 EATON ST,61915.00,249000.00,0.2486,Residential,Two Family,,,,
201180,2020,08/26/2021,Manchester,50 GIANNA DRIVE UNIT 50,163700.00,277000.00,0.590974729,Residential,Single Family,,,,
200001,2020,10/01/2020,East Haven,143 NORTH ATWATER ST,120240.00,215000.00,0.5592,Residential,Single Family,,,,
2000015,2020,10/08/2020,Cheshire,15 FARMERS CT,639200.00,940000.00,0.68,Residential,Single Family,07 - Change in Property,NEW CONSTRUCTION,,
200011,2020,10/28/2020,Harwinton,159 WILDCAT HILL RD,277250.00,482000.00,0.5752,Residential,Single Family,,,,POINT (-73.09412 41.75724)
200645,2020,08/13/2021,East Haven,171 ANGELA DR,255540.00,475000.00,0.5379,Residential,Single Family,,,,
2000150,2020,01/15/2021,Cheshire,125 VICTORIA DR,100130.00,508943.00,0.1967,Residential,Condo,07 - Change in Property,NEW CONSTRUCTION,,
200795,2020,04/01/2021,Greenwich,633 STEAMBOAT ROAD UN1,1209040.00,1675000.00,0.7218,Residential,Condo,,,,POINT (-73.62241 41.01478)
200382,2020,06/18/2021,Madison,15 SURF CLUB RD,469300.00,851000.00,0.5514,Residential,Single Family,,,,POINT (-72.60917 41.27263)
20145,2020,11/23/2020,East Hartford,22 ADDISON RD,101590.00,250000.00,0.4063,Residential,Single Family,17 - Two Towns,,,POINT (-72.66411 41.79738)
200082,2020,12/09/2020,Bloomfield,254 TUNXIS AVENUE,126470.00,257000.00,0.4921,Residential,Single Family,,,,POINT (-72.74114 41.85402)
200519,2020,06/11/2021,East Haven,215 MAPLE ST,99080.00,175500.00,0.5645,Residential,Single Family,,,,POINT (-72.8449 41.32326)
200127,2020,09/02/2021,Bethany,466 CARRINGTON RD,213060.00,399900.00,0.5327,Residential,Single Family,,,,POINT (-72.97328 41.4389)
200081,2020,05/11/2021,Beacon Falls,10 LAUREL RIDGE,323900.00,520000.00,0.6228,Residential,Condo,,,,
20445,2020,06/29/2021,Darien,118 COLONY ROAD,934780.00,1575000.00,0.5935,Residential,Single Family,,,,POINT (-73.50143 41.07383)
20560,2020,08/10/2021,Darien,40 TOWER DRIVE,1153250.00,1575000.00,0.7322,Residential,Single Family,,,,
200058,2020,03/05/2021,Beacon Falls,284 COOK LANE,51230.00,100000.00,0.5123,Vacant Land,,,VACANT LOT IN A SUBDIVISION,,POINT (-73.04646 41.43856)
20051,2020,10/29/2020,Bethel,117 GREAT HILL DRIVE,291760.00,432208.00,0.675,Residential,Condo,07 - Change in Property,,,
20062,2020,11/04/2020,Bethel,7 HAWLEYVILLE ROAD,242900.00,445000.00,0.5458,Residential,Single Family,,,,POINT (-73.39273 41.41746)
200027,2020,10/30/2020,Coventry,BUNKER HILL RD,53600.00,34000.00,1.5764,Vacant Land,,,27/40/9,,
200518,2020,02/25/2021,Bristol,29 ALBA DR,124250.00,157000.00,0.791401274,Residential,Single Family,25 - Other,,SHORT SALE PER MLS,POINT (-72.94448 41.71012)
200223,2020,01/04/2021,Branford,33 HARBOR SIDE,342300.00,710000.00,0.4821,Residential,Condo,,,,POINT (-72.82125 41.26209)
200433,2020,01/20/2021,Bristol,339 PERKINS ST,170730.00,275000.00,0.6208,Residential,Single Family,,,,POINT (-72.96402 41.69219)
20000081,2020,01/19/2021,Granby,30 HAVEN DR,207270.00,375000.00,0.5527,Residential,Single Family,,,,POINT (-72.82508 41.92472)
200324,2020,12/21/2020,Bristol,45 ROBERTS TRACE,156170.00,277900.00,0.5619,Residential,Condo,,,,POINT (-72.97683 41.68589)
200164,2020,06/08/2021,East Windsor,7 HARRINGTON RD,93220.00,202500.00,0.4603,Residential,Single Family,,,,POINT (-72.56295 41.92569)
200096,2020,04/14/2021,Hebron,26 PENDLETON DR,357060.00,225000.00,1.5869,Commercial,,16 - Charitable Group,CHARITABLE ORG PURCHASED PROPERTY,,POINT (-72.36112 41.65847)
200272,2020,11/24/2020,Danbury,191 SOUTHERN BL,147900.00,285000.00,0.5189,Residential,Single Family,,H17135,,POINT (-73.45852 41.37786)
200614,2020,02/09/2021,Greenwich,34 COPPER BEECH ROAD,1736280.00,3025000.00,0.5739,Residential,Single Family,,,,POINT (-73.61739 41.06852)
200166,2020,12/21/2020,Farmington,22 MALLARD DR,107250.00,190000.00,0.5644,Residential,Condo,,,,POINT (-72.87883 41.76213)
200519,2020,05/28/2021,Branford,19 BREEZY LA,212200.00,350000.00,0.6062,Residential,Single Family,,,,
200136,2020,10/26/2020,Danbury,15 WEST CROSS TRAIL,18200.00,434049.00,0.04193075,Residential,Condo,07 - Change in Property,NEW CONSTRUCTION / B16001-113,,POINT (-73.43052 41.39814)
200723,2020,07/16/2021,Enfield,3 CYNTHIA CIR,128060.00,180000.00,0.7114,Residential,Single Family,10 - A Will,,,
200375,2020,07/02/2021,Avon,362 WEST AVON ROAD,164740.00,230000.00,0.7162,Residential,Single Family,,,,POINT (-72.86219 41.7929)
201321,2020,09/16/2021,Bristol,159 NEWELL AVE,75390.00,131000.00,0.5754,Residential,Single Family,01 - Family,FAMILIAR SALE,,POINT (-72.96803 41.66789)
200338,2020,12/23/2020,Bristol,34 LANDRY ST,100240.00,173000.00,0.5794,Residential,Two Family,,,,POINT (-72.95034 41.67128)
200338,2020,02/26/2021,Glastonbury,216 KNOLLWOOD DR,384900.00,749900.00,0.5132,Residential,Single Family,,,,
201078,2020,12/21/2020,Griswold,22 CROSS RD,173040.00,302000.00,0.5729,Residential,Single Family,,,,
200366,2020,12/15/2020,Danbury,16 TAAGAN PT DR,182300.00,330000.00,0.5524,Residential,Single Family,,I06040,,
200427,2020,06/04/2021,Farmington,165 MAIN ST,248890.00,532500.00,0.4673,Residential,Single Family,,,,
20013,2020,12/16/2020,Eastford,GENERAL LYON RD,2200.00,20000.00,0.11,Vacant Land,,12 - Non Buildable Lot,UNBLDBL,,
201026,2020,05/17/2021,Greenwich,24 BAYSIDE TERRACE,1048460.00,1490000.00,0.7036,Residential,Single Family,25 - Other,SOLD AS A TEAR DOWN,,POINT (-73.59052 41.03375)
2020140,2020,02/16/2021,Ansonia,19 LESTER ST,127900.00,100000.00,1.279,Residential,Single Family,26 - Rehabilitation Deferred,"LOW SALE, SOLD AS-IS. COMPLETE RENOVATE OR KNOCK DOWN & REBUILD",,
20092,2020,11/23/2020,Bethel,57 GREAT HILL DRIVE,144270.00,483104.00,0.2986,Residential,Condo,07 - Change in Property,,,POINT (-73.41231 41.38722)
201174,2020,07/06/2021,Danbury,2 BENSON DR,177300.00,338000.00,0.5245,Residential,Single Family,,C16033,,
20029,2020,12/21/2020,Bolton,285 BOLTON CENTER RD,318700.00,535000.00,0.5957,Residential,Single Family,,,,
20391,2020,06/30/2021,Bethel,13 SOUTH CROSSING WAY,160947.00,588197.00,0.273627713,Residential,Single Family,07 - Change in Property,,,
200797,2020,05/17/2021,Bristol,600 CLARK AVE UN 36,73780.00,140000.00,0.527,Residential,Condo,,,,POINT (-72.98338 41.6863)
200258,2020,09/23/2021,Litchfield,48 TAPPING REEVE VLG,109180.00,230000.00,0.4746,Residential,Condo,,,,POINT (-73.209 41.74183)
200593,2020,07/21/2021,East Haven,654 LAUREL ST #8,152600.00,288000.00,0.5298,Residential,Condo,,,,
200000295,2020,06/15/2021,Brookfield,55 OBTUSE ROCKS RD,189410.00,350000.00,0.5411,Residential,Single Family,,,,
200652,2020,08/02/2021,Groton,65 & 0 WEST ST,135870.00,282000.00,0.4818,Residential,Single Family,25 - Other,"ASSMT - 65 WEST ST=133,070 & VACANT LOT AT 0 WEST ST=2,800",,POINT (-72.07094 41.34797)
201204,2020,06/17/2021,Greenwich,7 TURNER DRIVE,3648260.00,6725000.00,0.5424,Residential,Single Family,,,,POINT (-73.64646 41.03186)
20000226,2020,07/27/2021,Granby,76 WEST GRANBY RD,107990.00,750000.00,0.1439,Residential,Single Family,28 - Use Assessment,PA 490 REMOVED AND SUBDIVISION APPROVAL,,POINT (-72.80269 41.95256)
20413,2020,07/16/2021,Bethel,28 BRIAR RIDGE DRIVE,292110.00,535000.00,0.546,Residential,Condo,07 - Change in Property,,,
200916,2020,06/21/2021,Manchester,17 DIVISION STREET,132600.00,255000.00,0.52,Residential,Two Family,,,,
2020265,2020,05/25/2021,Berlin,111 BERLIN ST,166900.00,276750.00,0.603,Residential,Single Family,,,,POINT (-72.72426 41.61718)
200611,2020,07/15/2021,Groton,44 SPYGLASS CIR,122080.00,245000.00,0.4982,Residential,Condo,,,,
200356,2020,09/20/2021,Coventry,1338 SOUTH ST,187200.00,267300.00,0.7003,Residential,Single Family,01 - Family,,,
200765,2020,05/07/2021,Manchester,25 QUARRY KNOLL CIRCLE,286500.00,485000.00,0.5907,Residential,Single Family,,,,
200768,2020,05/06/2021,Bristol,221-225 EAST RD,135590.00,280000.00,0.4842,Residential,Three Family,,,,
20313,2020,05/11/2021,Bethel,176 WALNUT HILL ROAD,203630.00,436000.00,0.467,Residential,Single Family,,,,
201096,2020,07/28/2021,Bristol,FIFTH ST LOT 81,25200.00,10000.00,2.52,Vacant Land,,12 - Non Buildable Lot,ABUTTER SALE,,
201370,2020,09/14/2021,Cromwell,20 JENNIFER LANE,315700.00,549900.00,0.5741,Residential,Single Family,,,,
201240,2020,06/23/2021,Greenwich,40 MITCHELL PLACE,379960.00,759000.00,0.5006,Residential,Single Family,,,,
200028,2020,10/14/2020,East Haven,23 OSMOND SR,131510.00,230000.00,0.5717,Residential,Single Family,,,,
200368,2020,12/16/2020,Manchester,512 WEST CENTER STREET,733900.00,1000000.00,0.7339,Commercial,,,,,POINT (-72.55848 41.76854)
200660,2020,08/26/2021,Farmington,1254-C FARMINGTON AV,53460.00,92500.00,0.5779,Residential,Condo,,,,POINT (-72.85122 41.74048)
20362,2020,06/01/2021,Darien,43 COACHLAMP LANE,700840.00,1210000.00,0.5792,Residential,Single Family,,,,POINT (-73.49314 41.06174)
201237,2020,09/17/2021,Hartford,102 OAK ST,95270.00,225000.00,0.4234,Commercial,,,,,
201130,2020,06/04/2021,Greenwich,10 CRESCENT ROAD,980350.00,1600000.00,0.6127,Residential,Single Family,,,,POINT (-73.57651 41.03833)
2000330,2020,05/20/2021,Cheshire,844 HIGHLAND AVE,144220.00,204000.00,0.7069,Residential,Single Family,25 - Other,DEFERRED MAINTENANCE,,
200087,2020,12/22/2020,East Haddam,3 MILLINGTON RD,259920.00,420000.00,0.6188,Residential,Single Family,,,,
20000247,2020,08/17/2021,Granby,5 BECONTREE HEATH RD,211470.00,400000.00,0.5286,Residential,Single Family,,,,POINT (-72.84609 42.00195)
200004,2020,10/13/2020,Cornwall,382 SHARON GOSHEN TPKE,144200.00,295000.00,0.4888,Residential,Single Family,,,,POINT (-73.35724 41.87366)
20224,2020,09/03/2021,Burlington,24 EAST SHORE BLVD,115710.00,130000.00,0.89,Residential,Single Family,25 - Other,CONSERVATOR SALE,,
2020014,2020,10/15/2020,Berlin,783 WORTHINGTON RDG,235000.00,319000.00,0.7366,Residential,Single Family,,,,
200004,2020,10/05/2020,Canton,18 SWEETHEART MOUNTAIN ROAD,295850.00,449648.85,0.6579,Residential,Single Family,,,,
200370,2020,12/16/2020,Manchester,129 WEST CENTER STREET,113300.00,208000.00,0.5447,Residential,Single Family,,,,POINT (-72.54086 41.77141)
2000376,2020,09/08/2021,Bloomfield,6 NOLAN DRIVE,127610.00,271000.00,0.470885609,Residential,Single Family,07 - Change in Property,,PER MLS HAS RENOVATED KITCHEN AND BOTH LEVELS OF BASEMENT ARE FINISHED,
200136,2020,12/21/2020,East Lyme,10 MIRANDA WAY,281610.00,525000.00,0.5364,Residential,Single Family,,,,
200009,2020,10/13/2020,Essex,17 MACK LA,760000.00,1390000.00,0.5467,Vacant Land,,,,,
200195,2020,04/26/2021,Cromwell,34 SHUNPIKE ROAD,3360000.00,5214750.00,0.6443,Commercial,,,,,
200353,2020,04/29/2021,Farmington,18 EVERGREEN TRAIL,142380.00,200100.00,0.7115,Residential,Condo,,,,
200010,2020,10/13/2020,East Windsor,ROCKVILLE RD,4010.00,65000.00,0.0616,Vacant Land,,28 - Use Assessment,,,
200067,2020,12/03/2020,East Haddam,11 WINTERBROOK RD,37000.00,40000.00,0.925,Vacant Land,,,,,POINT (-72.49832 41.51565)
20355,2020,06/07/2021,Bethel,141 OLD HAWLEYVILLE ROAD,206220.00,300000.00,0.6874,Residential,Single Family,,,,
201231,2020,08/27/2021,Bristol,70 HARVARD PL,171150.00,385000.00,0.444545455,Residential,Single Family,07 - Change in Property,,"PER MLS: 3.5 BATHS, CENTRAL A/C, FINISHED BASEMENT, HUGE EXPANDED PATIO W/ OUTDOOR KITCHEN",POINT (-72.97635 41.7138)
200011,2020,10/02/2020,Enfield,37 WAGON RD,141050.00,257000.00,0.5488,Residential,Single Family,,,,
200019,2020,10/05/2020,Bristol,39 RUDOLPH RD,106540.00,244000.00,0.436639344,Residential,Single Family,07 - Change in Property,,3 FULL BATHS PER MLS. UPDATED KITCHEN AND BATHS.,POINT (-72.90591 41.68264)
200465,2020,09/14/2021,Killingly,167 BALLOUVILLE RD,107380.00,250000.00,0.4295,Residential,Single Family,,,,POINT (-71.86838 41.87107)
20253,2020,12/16/2020,Hartford,115 SIGOURNEY ST,74585.00,236000.00,0.316,Residential,Single Family,25 - Other,LAND USE RESTRICTIVE COVENANT 7692-327,,POINT (-72.69385 41.76868)
200527,2020,09/16/2021,Madison,190 OPENING HILL RD,296500.00,580000.00,0.5112,Residential,Single Family,,,,POINT (-72.63091 41.31523)
20413,2020,03/12/2021,East Hartford,95 GOVERNOR ST,86030.00,85000.00,1.0121,Residential,Single Family,25 - Other,DEPRESSED SALE,,
201371,2020,07/09/2021,Greenwich,1465 EAST PUTNAM AVENUE #422,320600.00,520000.00,0.6165,Residential,Condo,,,,
200207,2020,12/14/2020,Enfield,38 HIGH VIEW TERR,102130.00,215000.00,0.475,Residential,Single Family,,,,POINT (-72.51584 41.98937)
20000149,2020,01/22/2021,Brookfield,355 FEDERAL RD,1660430.00,2300000.00,0.7219,Commercial,,,COMMERICAL PLAZA,,
200742,2020,03/29/2021,Danbury,17 OHEHYAHTAH PL,339100.00,550000.00,0.6165,Residential,Single Family,,H16095,,
201270,2020,06/24/2021,Cromwell,3 GREENWAY DRIVE,107520.00,200900.00,0.5351,Residential,Condo,,,,
200127,2020,10/26/2020,Danbury,114 FEDERAL RD,8921400.00,3850000.00,2.317246753,Commercial,,25 - Other,RATIO TOO HIGH / L08015,,POINT (-73.42122 41.4262)
200095,2020,01/08/2021,Colchester,136 CLARK LN,104800.00,206500.00,0.5075,Residential,Single Family,,,,POINT (-72.3371 41.57427)
200021,2020,10/07/2020,Branford,52 HOPSON AVE,165400.00,208000.00,0.7951,Residential,Single Family,07 - Change in Property,VERY POOR CONDITION/DEFERRED MAINT,,
20000115,2020,03/03/2021,Granby,3 LOWER MEADOW DR,2670.00,140000.00,0.019,Vacant Land,,28 - Use Assessment,PA 490 REMOVED,,POINT (-72.83813 41.95518)
20950,2020,09/23/2021,East Hartford,263 TOLLAND ST,125860.00,265000.00,0.4749,Residential,Two Family,,,,POINT (-72.62297 41.77901)
200096,2020,07/12/2021,Columbia,33 HENNEQUIN ROAD,146200.00,326000.00,0.4484,Residential,Single Family,,,,
200098,2020,11/06/2020,Groton,70 ATLANTIC AVE,354550.00,742500.00,0.4775,Residential,Single Family,,,,
20242,2020,12/15/2020,Hartford,10 BRANFORD ST,33880.00,166000.00,0.204,Residential,Single Family,,,,
200938,2020,05/03/2021,Greenwich,11 RED COAT LANE,1739220.00,2000000.00,0.8696,Residential,Single Family,,,,
200062,2020,11/25/2020,East Haddam,158 TATER HILL RD,187120.00,395000.00,0.4737,Residential,Single Family,28 - Use Assessment,,,POINT (-72.36548 41.45087)
200233,2020,01/07/2021,Groton,69 A ST,0.00,29000.00,0,Residential,Single Family,07 - Change in Property,10/1/2020 VACANT LOT THEN MOBILE HOME PLACED ON 1/7/21.,,
200006,2020,10/13/2020,Hebron,103 CHESTNUT HILL RD,226310.00,190000.00,1.1911,Residential,Single Family,01 - Family,ESTATE FAMILY SALE,,
201378,2020,09/30/2021,Bristol,600 CLARK AVE UN 29,73780.00,155900.00,0.4732,Residential,Condo,,,,POINT (-72.98338 41.6863)
200070,2020,03/16/2021,Bethany,11 AMADEO DR,330110.00,596000.00,0.5538,Residential,Single Family,,,,POINT (-72.97447 41.45074)
200570,2020,06/16/2021,Branford,252 LEETES ISLAND RD #13,7900.00,4000.00,1.975,Residential,Single Family,25 - Other,MOBILE HOME ONLY/BOUGHT BACK BY OWNER OF PARK,,
20277,2020,04/16/2021,Bethel,509 COPPER SQUARE DRIVE,212730.00,360000.00,0.5909,Residential,Condo,07 - Change in Property,,,POINT (-73.38436 41.41661)
201773,2020,09/27/2021,Greenwich,79 BIBLE STREET,462070.00,762500.00,0.6059,Residential,Two Family,25 - Other,MULTI CONVEYANCE SALE FROM AN ESTATE,,POINT (-73.59579 41.04755)
20690,2020,04/26/2021,Hartford,7 BARBOUR ST,4690.00,15769.00,0.2974,Vacant Land,,09 - Tax,(NO CONVEYANCE) TAX COLLECTOR'S DEED,,POINT (-72.67946 41.7856)
20375,2020,01/27/2021,Hartford,153 STANDISH ST,38955.00,273000.00,0.1426,Residential,Two Family,,,,POINT (-72.67801 41.73594)
20017,2020,10/05/2020,Darien,4 HOMEWOOD LANE,2263590.00,3500000.00,0.6467,Residential,Single Family,,,,POINT (-73.45773 41.06604)
20021,2020,10/13/2020,Bethel,10 OLD HAWLEYVILLE ROAD,238490.00,450000.00,0.5299,Residential,Single Family,,,,POINT (-73.37338 41.38314)
2000344,2020,05/27/2021,Cheshire,240 TIMBER LANE,204290.00,359900.00,0.5676,Residential,Single Family,,,,
200153,2020,05/25/2021,Essex,6 PINEY BRANCH RD,178000.00,342000.00,0.5204,Residential,Single Family,,,,POINT (-72.43889 41.33213)
20202,2020,12/10/2020,East Hartford,87 KINGSTON DR,185690.00,315000.00,0.5894,Residential,Single Family,,,,POINT (-72.58109 41.75201)
200509,2020,02/03/2021,Manchester,20 RED ROCK LANE,209500.00,305000.00,0.6868,Residential,Single Family,,,,POINT (-72.5368 41.80163)
200367,2020,04/05/2021,Groton,100 STARR HILL RD,183120.00,340000.00,0.5385,Residential,Single Family,,,,POINT (-72.08216 41.37003)
200021,2020,12/31/2020,Bridgewater,125 TOWN LINE ROAD,1891490.00,2000000.00,0.9457,Residential,Single Family,06 - Portion of Property,Sale of portion of property,,POINT (-73.33281 41.51295)
200568,2020,06/11/2021,Glastonbury,90 MARGARET LN,207500.00,330000.00,0.6287,Residential,Single Family,,,,POINT (-72.55461 41.71728)
200003,2020,10/01/2020,Bristol,536 REDSTONE HILL RD #C-5,103460.00,164500.00,0.6289,Residential,Condo,,,,POINT (-72.89618 41.65676)
20008,2020,10/26/2020,Ashford,203 MANSFIELD RD,120060.00,210000.00,0.5717,Residential,Two Family,28 - Use Assessment,,,POINT (-72.16387 41.85129)
